HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,甲府,W,2,0,5,12,3,3,0,0,472,635,6,17,15,16,1,2,2,2,18,30,5,12,22,16,28,7,3,2,2,0,2,1,0,0,25,68,3,12,130,139,3.8%,8.6%,45.9%,54.1%,https://www.football-lab.jp/g-os/report/?year=2014&month=07&date=19
H,清水,W,4,0,23,4,11,4,0,0,573,471,21,6,7,11,2,7,7,1,15,26,13,13,28,15,22,9,5,2,7,2,0,2,0,0,41,31,25,3,114,121,20.2%,3.3%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=07&date=23
A,神戸,W,5,1,20,17,11,7,0,1,427,518,12,17,13,10,3,0,5,2,13,18,10,21,31,24,27,15,6,2,0,3,1,4,0,0,46,73,16,22,126,125,15.9%,13.6%,47.2%,52.8%,https://www.football-lab.jp/g-os/report/?year=2014&month=07&date=27
H,横浜FM,W,2,0,13,11,5,1,0,0,439,464,13,14,8,17,1,2,5,5,25,21,13,10,28,15,16,17,2,4,2,1,3,3,0,0,33,34,8,10,111,118,11.7%,9.3%,47.8%,52.2%,https://www.football-lab.jp/g-os/report/?year=2014&month=08&date=02
A,大宮,W,2,0,13,14,8,5,0,0,441,489,12,22,9,10,1,0,10,7,15,23,16,18,27,16,26,25,2,5,0,1,0,1,0,0,24,62,14,15,116,118,11.2%,11.9%,46.1%,53.9%,https://www.football-lab.jp/g-os/report/?year=2014&month=08&date=09
H,名古屋,L,0,1,11,9,2,4,0,0,508,367,22,12,11,17,1,5,3,5,26,18,15,9,13,14,16,40,4,7,4,1,1,1,0,0,52,38,17,10,120,120,9.2%,7.5%,53.7%,46.3%,https://www.football-lab.jp/g-os/report/?year=2014&month=08&date=16
A,甲府,D,3,3,11,14,5,5,1,0,622,413,12,12,9,13,4,1,5,3,19,17,8,8,15,17,12,25,5,8,1,4,2,2,0,0,47,28,8,12,115,110,9.6%,12.7%,56.6%,43.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=08&date=23
H,新潟,W,5,0,13,17,10,2,0,0,430,607,14,19,16,10,2,3,1,4,19,26,15,10,16,11,36,27,5,7,2,2,1,0,0,0,45,55,11,16,140,143,9.3%,11.9%,44.5%,55.5%,https://www.football-lab.jp/g-os/report/?year=2014&month=08&date=30
A,広島,W,1,0,12,15,2,1,0,0,495,594,5,24,11,19,2,1,5,5,20,29,6,24,27,23,38,12,3,5,1,2,3,1,0,0,38,53,8,12,126,132,9.5%,11.4%,46%,54%,https://www.football-lab.jp/g-os/report/?year=2014&month=09&date=13
H,Ｃ大阪,W,2,0,15,15,8,2,0,0,473,397,7,19,13,14,0,1,5,4,31,19,10,13,20,21,28,22,2,4,1,0,2,3,0,0,43,42,18,14,145,133,10.3%,11.3%,50.1%,49.9%,https://www.football-lab.jp/g-os/report/?year=2014&month=09&date=20
A,清水,W,3,0,13,13,6,5,0,0,506,482,9,15,15,14,0,3,0,6,23,22,16,12,19,22,29,23,1,1,3,0,3,2,0,0,41,56,12,11,131,128,9.9%,10.2%,50.5%,49.5%,https://www.football-lab.jp/g-os/report/?year=2014&month=09&date=23
H,鳥栖,W,4,1,17,8,8,3,1,1,586,316,10,26,19,5,1,0,3,8,19,20,13,6,16,25,30,17,2,2,0,1,1,2,0,0,42,33,17,13,127,125,13.4%,6.4%,60.2%,39.8%,https://www.football-lab.jp/g-os/report/?year=2014&month=09&date=27
A,鹿島,W,3,2,15,23,4,8,0,0,569,446,16,14,13,15,1,0,0,8,13,22,17,12,23,16,14,14,2,4,0,0,1,3,0,0,47,54,17,18,118,134,12.7%,17.2%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=10&date=05
H,川崎Ｆ,W,1,0,11,14,2,4,0,0,391,557,9,15,12,12,4,1,5,3,23,22,17,13,18,18,18,14,6,1,1,4,2,2,0,0,44,51,19,19,124,125,8.9%,11.2%,45.4%,54.6%,https://www.football-lab.jp/g-os/report/?year=2014&month=10&date=18
A,柏,L,0,1,11,12,3,4,0,0,645,451,12,19,15,14,1,1,1,1,25,17,12,11,34,29,24,31,1,4,0,1,3,1,1,0,59,46,10,8,123,126,8.9%,9.5%,55.3%,44.7%,https://www.football-lab.jp/g-os/report/?year=2014&month=10&date=22
H,Ｆ東京,W,2,1,23,10,8,5,0,0,473,393,15,19,16,13,3,1,13,4,28,18,21,15,21,26,26,24,4,3,1,3,2,1,0,0,52,49,22,10,146,129,15.8%,7.8%,54.6%,45.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=10&date=26
H,仙台,D,1,1,14,13,5,3,0,0,498,460,18,17,9,15,0,3,5,1,34,15,16,12,17,28,18,16,5,5,3,0,0,1,0,0,51,56,18,10,142,128,9.9%,10.2%,50%,50%,https://www.football-lab.jp/g-os/report/?year=2014&month=11&date=02
A,浦和,W,2,0,15,12,5,4,0,0,526,487,18,22,5,15,0,1,6,7,20,22,11,13,27,30,35,11,4,1,0,0,4,0,0,0,55,52,13,10,132,137,11.4%,8.8%,49.9%,50.1%,https://www.football-lab.jp/g-os/report/?year=2014&month=11&date=22
H,神戸,W,3,1,17,9,7,6,0,0,484,554,18,20,12,13,3,0,3,0,27,26,10,17,21,17,29,21,6,6,0,3,0,3,0,0,47,43,21,10,136,130,12.5%,6.9%,48.2%,51.8%,https://www.football-lab.jp/g-os/report/?year=2014&month=11&date=29
A,徳島,D,0,0,20,11,2,3,0,0,762,360,39,10,14,12,3,0,8,1,26,15,29,6,16,20,16,35,2,3,0,2,0,2,0,0,86,25,27,6,136,129,14.7%,8.5%,62%,38%,https://www.football-lab.jp/g-os/report/?year=2014&month=12&date=06
