HOME/AWAY,Opponent,勝敗,omiy_得点,omiy_失点,Opponent_シュート,omiy_シュート,Opponent_枠内シュート,omiy_枠内シュート,Opponent_PKによるシュート,omiy_PKによるシュート,Opponent_パス,omiy_パス,Opponent_クロス,omiy_クロス,Opponent_直接ＦＫ,omiy_直接ＦＫ,Opponent_間接ＦＫ,omiy_間接ＦＫ,Opponent_ＣＫ,omiy_ＣＫ,Opponent_スローイン,omiy_スローイン,Opponent_ドリブル,omiy_ドリブル,Opponent_タックル,omiy_タックル,Opponent_クリア,omiy_クリア,Opponent_インターセプト,omiy_インターセプト,Opponent_オフサイド,omiy_オフサイド,Opponent_警告,omiy_警告,Opponent_退場,omiy_退場,Opponent_３０ｍライン進入,omiy_３０ｍライン進入,Opponent_ペナルティエリア進入,omiy_ペナルティエリア進入,Opponent_攻撃回数,omiy_攻撃回数,Opponent_チャンス構築率,omiy_チャンス構築率,Opponent_ボール保持率,omiy_ボール保持率,URL
H,新潟,D,2,2,16,13,4,5,0,0,691,405,16,15,7,12,0,1,3,4,19,25,11,18,23,31,18,12,2,1,1,0,0,1,0,0,34,33,13,12,114,127,14.0%,10.2%,58.7%,41.3%,https://www.football-lab.jp/omiy/report/?year=2014&month=05&date=03
A,Ｆ東京,W,1,0,23,11,3,4,0,0,570,293,36,7,19,14,4,0,8,4,18,8,18,11,15,31,13,36,5,3,0,3,0,2,0,0,80,35,28,10,124,113,18.5%,9.7%,59.8%,40.2%,https://www.football-lab.jp/omiy/report/?year=2014&month=05&date=06
H,浦和,L,0,2,17,7,6,2,0,0,611,353,12,10,22,14,0,2,1,4,19,14,14,13,21,17,20,18,4,1,2,0,1,2,0,0,44,34,17,8,116,112,14.7%,6.3%,59.7%,40.3%,https://www.football-lab.jp/omiy/report/?year=2014&month=05&date=10
A,鳥栖,D,1,1,22,15,5,4,1,0,378,313,17,16,15,14,2,3,4,6,20,13,6,13,30,18,18,30,1,1,3,1,1,2,0,0,35,27,18,12,122,115,18.0%,13.0%,52.1%,47.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=05&date=17
H,広島,D,3,3,14,14,5,6,0,0,634,421,21,17,10,8,2,1,8,4,26,13,21,11,14,26,15,21,7,7,1,2,0,1,0,0,44,42,14,15,117,106,12.0%,13.2%,59%,41%,https://www.football-lab.jp/omiy/report/?year=2014&month=07&date=19
A,鹿島,D,2,2,28,10,6,4,0,0,485,420,22,14,14,12,1,5,8,3,19,18,19,7,14,29,21,36,1,3,5,1,1,1,0,0,54,32,31,11,122,109,23.0%,9.2%,53.8%,46.2%,https://www.football-lab.jp/omiy/report/?year=2014&month=07&date=23
H,徳島,L,1,3,14,23,6,6,0,0,253,638,4,25,11,14,0,1,4,10,16,23,7,22,19,15,33,16,3,0,1,0,0,3,0,0,23,65,10,14,103,109,13.6%,21.1%,34.4%,65.6%,https://www.football-lab.jp/omiy/report/?year=2014&month=07&date=27
A,仙台,D,2,2,12,18,4,4,0,0,311,388,11,23,11,15,5,6,4,12,22,17,11,16,15,13,22,20,2,5,6,5,0,0,0,0,25,36,9,27,111,117,10.8%,15.4%,45.3%,54.7%,https://www.football-lab.jp/omiy/report/?year=2014&month=08&date=02
H,Ｇ大阪,L,0,2,13,14,8,5,0,0,441,489,12,22,9,10,1,0,10,7,15,23,16,18,27,16,26,25,2,5,0,1,0,1,0,0,24,62,14,15,116,118,11.2%,11.9%,46.1%,53.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=08&date=09
A,新潟,L,1,2,18,11,7,4,0,0,472,371,13,21,13,12,2,3,8,7,24,19,4,12,18,19,24,24,3,0,3,2,0,1,0,0,43,33,19,22,135,131,13.3%,8.4%,54.4%,45.6%,https://www.football-lab.jp/omiy/report/?year=2014&month=08&date=16
H,鳥栖,L,1,3,13,16,5,5,0,1,431,508,6,21,12,10,1,2,4,4,17,22,7,11,15,21,28,11,5,0,2,1,1,1,0,0,43,51,10,14,119,117,10.9%,13.7%,47.8%,52.2%,https://www.football-lab.jp/omiy/report/?year=2014&month=08&date=23
A,浦和,L,0,4,17,17,9,4,0,0,552,434,9,17,13,10,3,4,4,6,19,14,6,11,14,13,20,15,4,2,4,3,0,1,0,0,36,43,18,17,119,122,14.3%,13.9%,55.3%,44.7%,https://www.football-lab.jp/omiy/report/?year=2014&month=08&date=30
H,鹿島,W,2,1,27,9,7,4,0,0,472,267,24,11,12,14,3,5,8,5,36,28,24,13,17,17,19,41,0,1,5,2,1,2,0,0,63,26,26,9,136,132,19.9%,6.8%,56.9%,43.1%,https://www.football-lab.jp/omiy/report/?year=2014&month=09&date=13
A,徳島,W,2,0,13,13,1,5,0,0,403,458,14,9,12,11,1,1,4,6,28,21,10,16,18,18,24,32,4,4,1,1,1,0,0,0,28,41,13,13,129,119,10.1%,10.9%,47.9%,52.1%,https://www.football-lab.jp/omiy/report/?year=2014&month=09&date=20
H,川崎Ｆ,L,1,3,10,17,6,5,0,0,547,481,5,18,13,8,4,7,2,6,15,23,11,16,17,23,23,12,2,2,7,4,0,0,0,0,40,52,15,16,111,116,9.0%,14.7%,49.3%,50.7%,https://www.football-lab.jp/omiy/report/?year=2014&month=09&date=23
H,清水,W,2,1,15,15,6,4,0,0,486,390,19,17,18,11,6,4,4,12,22,26,12,14,30,20,33,29,5,3,4,6,0,0,0,0,39,40,13,23,125,137,12.0%,10.9%,52%,48%,https://www.football-lab.jp/omiy/report/?year=2014&month=09&date=27
A,甲府,W,1,0,11,12,1,2,0,0,348,555,12,15,16,14,1,5,3,6,30,22,12,15,32,31,22,23,1,1,5,1,0,0,0,0,28,48,10,10,142,139,7.7%,8.6%,41.7%,58.3%,https://www.football-lab.jp/omiy/report/?year=2014&month=10&date=05
H,Ｆ東京,W,1,0,24,4,5,2,0,0,472,334,22,12,13,17,3,5,6,1,35,22,24,10,20,27,18,36,1,1,5,2,2,2,0,0,56,37,20,3,139,130,17.3%,3.1%,54.2%,45.8%,https://www.football-lab.jp/omiy/report/?year=2014&month=10&date=18
H,横浜FM,L,2,3,11,14,6,5,0,0,650,394,18,11,8,7,1,1,5,4,19,18,12,12,21,26,17,20,3,0,1,1,0,1,0,0,59,30,17,14,119,115,9.2%,12.2%,60.1%,39.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=10&date=22
A,神戸,L,1,2,9,11,4,3,0,0,398,527,9,22,10,13,5,4,5,3,22,36,14,15,25,29,37,15,3,5,4,4,1,2,0,0,34,43,12,12,125,130,7.2%,8.5%,44.9%,55.1%,https://www.football-lab.jp/omiy/report/?year=2014&month=10&date=26
A,広島,D,1,1,21,3,2,1,0,0,758,303,32,10,12,11,3,2,4,2,24,17,23,11,16,19,14,29,0,3,2,2,0,2,0,0,94,24,22,4,117,117,17.9%,2.6%,66.6%,33.4%,https://www.football-lab.jp/omiy/report/?year=2014&month=11&date=02
H,柏,L,1,2,12,8,5,1,0,0,509,474,17,19,14,21,2,1,7,1,20,28,10,24,24,22,18,13,3,3,1,2,1,2,0,1,45,50,20,13,131,139,9.2%,5.8%,49.2%,50.8%,https://www.football-lab.jp/omiy/report/?year=2014&month=11&date=22
A,名古屋,L,1,2,8,12,4,5,0,0,496,488,15,26,11,11,3,1,2,8,19,22,16,15,30,18,26,19,2,3,1,3,0,2,0,0,44,46,11,13,111,125,7.2%,9.6%,50.6%,49.4%,https://www.football-lab.jp/omiy/report/?year=2014&month=11&date=29
H,Ｃ大阪,W,2,0,16,12,4,4,0,0,561,408,21,24,10,10,2,7,4,2,27,28,13,18,17,16,35,40,3,1,6,2,1,2,0,0,60,37,14,17,128,131,12.5%,9.2%,55%,45%,https://www.football-lab.jp/omiy/report/?year=2014&month=12&date=06
