HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
A,名古屋,W,2,1,11,13,5,5,0,1,439,550,10,21,9,8,4,4,4,3,18,33,10,13,23,14,23,16,5,1,4,4,4,1,1,0,41,59,10,14,138,135,8.0%,9.6%,49.5%,50.5%,https://www.football-lab.jp/c-os/report/?year=2014&month=05&date=03
H,仙台,L,0,1,12,7,3,4,0,0,569,442,16,11,13,7,6,7,5,1,20,18,14,15,25,18,21,27,5,5,7,6,2,1,0,0,59,40,13,11,150,147,8.0%,4.8%,54.3%,45.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=05&date=10
A,浦和,L,0,1,8,13,2,3,0,0,367,620,5,4,12,11,4,2,5,2,13,17,9,15,18,13,10,19,3,1,2,4,2,1,0,0,23,46,9,9,115,117,7.0%,11.1%,39.9%,60.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=05&date=17
H,川崎Ｆ,L,1,2,18,13,9,4,0,1,353,570,17,7,11,15,2,2,6,2,22,21,18,13,21,22,14,25,4,3,2,1,0,2,1,0,38,48,13,14,121,116,14.9%,11.2%,43.3%,56.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=07&date=15
H,横浜FM,D,2,2,15,15,5,5,0,0,500,474,11,12,7,15,3,0,3,1,17,30,5,13,21,23,24,15,2,6,0,3,1,1,0,0,41,57,12,14,124,141,12.1%,10.6%,48.9%,51.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=07&date=19
A,甲府,D,0,0,10,12,2,2,0,0,664,361,18,12,15,12,3,3,4,1,25,23,13,18,20,26,16,19,4,7,3,3,3,1,0,0,43,33,9,7,139,143,7.2%,8.4%,62.2%,37.8%,https://www.football-lab.jp/c-os/report/?year=2014&month=07&date=23
H,鳥栖,L,0,1,9,9,5,4,0,0,450,451,17,13,11,9,4,3,2,4,17,17,15,6,20,21,12,18,1,3,2,4,1,1,0,0,43,31,10,9,121,133,7.4%,6.8%,45.3%,54.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=07&date=27
A,新潟,L,0,1,10,10,2,5,0,0,558,388,8,9,12,9,0,8,5,3,28,30,13,7,16,30,17,20,2,5,8,0,0,0,0,0,42,37,13,8,139,137,7.2%,7.3%,56.4%,43.6%,https://www.football-lab.jp/c-os/report/?year=2014&month=08&date=02
H,Ｆ東京,D,0,0,17,9,1,4,0,0,439,378,14,11,14,18,4,0,3,4,21,18,9,7,16,19,12,20,3,2,0,4,3,0,0,0,62,47,18,7,122,131,13.9%,6.9%,54.8%,45.2%,https://www.football-lab.jp/c-os/report/?year=2014&month=08&date=09
A,川崎Ｆ,L,4,5,14,23,6,9,0,1,438,621,13,8,4,12,2,3,8,7,24,16,12,25,26,18,15,22,7,5,3,2,2,1,0,0,45,62,13,14,103,115,13.6%,20.0%,42.4%,57.6%,https://www.football-lab.jp/c-os/report/?year=2014&month=08&date=16
A,広島,D,0,0,14,7,3,3,0,0,576,553,16,12,8,18,4,2,2,1,24,16,10,9,16,22,15,17,3,4,2,4,2,0,0,0,57,38,9,9,111,121,12.6%,5.8%,50%,50%,https://www.football-lab.jp/c-os/report/?year=2014&month=08&date=23
H,神戸,L,1,2,17,13,3,4,0,0,386,605,14,10,10,10,5,1,1,5,23,22,14,14,15,20,20,19,9,7,1,4,1,0,0,0,39,53,13,13,129,134,13.2%,9.7%,43.2%,56.8%,https://www.football-lab.jp/c-os/report/?year=2014&month=08&date=30
H,柏,W,2,0,15,14,5,1,0,0,353,449,16,20,10,20,2,2,7,2,30,22,21,8,20,27,23,38,2,2,1,1,2,1,0,0,45,44,15,18,142,131,10.6%,10.7%,47.1%,52.9%,https://www.football-lab.jp/c-os/report/?year=2014&month=09&date=13
A,Ｇ大阪,L,0,2,15,15,2,8,0,0,397,473,19,7,14,13,1,0,4,5,19,31,13,10,21,20,22,28,4,2,0,1,3,2,0,0,42,43,14,18,133,145,11.3%,10.3%,49.9%,50.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=09&date=20
H,名古屋,L,1,2,12,9,2,3,0,0,478,300,16,9,8,19,1,4,6,5,39,26,20,17,23,28,20,33,1,3,4,1,1,1,0,0,52,39,13,10,148,140,8.1%,6.4%,59.1%,40.9%,https://www.football-lab.jp/c-os/report/?year=2014&month=09&date=23
H,浦和,W,1,0,11,20,3,3,0,0,337,525,10,24,7,21,2,1,3,6,17,24,5,13,13,17,31,15,1,1,1,2,4,0,0,0,36,55,8,20,116,128,9.5%,15.6%,42%,58%,https://www.football-lab.jp/c-os/report/?year=2014&month=09&date=27
A,清水,L,0,3,9,20,2,10,0,0,420,375,11,30,6,14,3,3,2,9,21,22,12,19,22,20,22,16,4,2,3,2,4,0,1,0,35,54,14,22,130,135,6.9%,14.8%,52%,48%,https://www.football-lab.jp/c-os/report/?year=2014&month=10&date=05
A,鳥栖,L,0,1,9,11,2,3,0,0,428,426,14,15,16,13,2,4,1,3,18,20,10,6,22,21,21,11,1,4,5,2,1,0,0,0,34,46,10,16,133,138,6.8%,8.0%,50.4%,49.6%,https://www.football-lab.jp/c-os/report/?year=2014&month=10&date=18
H,徳島,W,3,1,15,12,5,2,1,0,482,343,17,13,11,14,2,2,4,6,30,30,13,9,17,27,30,30,6,4,2,2,4,3,1,0,38,39,13,17,121,135,12.4%,8.9%,56.4%,43.6%,https://www.football-lab.jp/c-os/report/?year=2014&month=10&date=22
A,横浜FM,D,0,0,6,13,1,4,0,0,368,599,10,15,7,21,3,5,4,1,19,29,11,8,24,19,35,21,3,3,5,3,4,0,0,0,27,40,7,10,115,130,5.2%,10.0%,43.7%,56.3%,https://www.football-lab.jp/c-os/report/?year=2014&month=10&date=26
H,甲府,L,1,3,8,15,4,6,0,1,432,415,12,12,20,18,1,2,4,9,30,23,6,9,16,15,15,26,0,1,2,1,1,3,0,0,35,38,7,14,132,134,6.1%,11.2%,50.1%,49.9%,https://www.football-lab.jp/c-os/report/?year=2014&month=11&date=02
A,仙台,D,3,3,15,16,5,6,0,0,538,294,24,14,17,18,1,1,3,5,21,23,27,11,13,23,16,20,6,2,1,1,2,3,0,0,58,29,15,12,137,139,10.9%,11.5%,58.8%,41.2%,https://www.football-lab.jp/c-os/report/?year=2014&month=11&date=22
H,鹿島,L,1,4,14,22,7,7,0,0,497,447,24,12,13,13,3,3,2,3,19,26,19,19,26,19,15,18,3,5,3,2,3,1,0,0,63,52,13,21,129,130,10.9%,16.9%,51.9%,48.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=11&date=29
A,大宮,L,0,2,16,12,4,4,0,0,561,408,21,24,10,10,2,7,4,2,27,28,13,18,17,16,35,40,3,1,6,2,1,2,0,0,60,37,14,17,128,131,12.5%,9.2%,55%,45%,https://www.football-lab.jp/c-os/report/?year=2014&month=12&date=06
